Andromeda 	 And 	 Andromedae 	 Alpheratz
Antlia 	 Ant 	 Antliae  	 $\alpha$ Antliae
Apus  	 Aps 	 Apodis  	 $\alpha$ Apodis
Aquarius  	 Aqr 	 Aquarii   	 Sadalsuud
Aquila   	 Aql 	 Aquilae  	 Altair
Ara 	 Ara 	 Arae  	 $\beta$ Arae
Aries 	 Ari 	 Arietis  	 Hamal
Auriga  	 Aur 	 Aurigae  	 Capella
Boötes  	 Boo 	 Boötis  	 Arcturus
Caelum 	 Cae 	 Caeli  	 $\alpha$ Caeli
Camelopardalis	Cam	Camelopardalis	$\beta$ Camelopardalis
Cancer   	 Cnc 	 Cancri  	 Tarf
Canes Venatici  	 CVn 	 Canum Venaticorum  	 Cor Caroli
Canis Major  	 CMa 	 Canis Majoris   	 Sirius
Canis Minor  	 CMi 	 Canis Minoris  	 Procyon
Capricornus  	 Cap 	 Capricorni  	 Deneb Algiedi
Carina  	 Car 	 Carinae  	 Canopus
Cassiopeia  	 Cas 	 Cassiopeiae  	 Shedir
Centaurus  	 Cen 	 Centauri  	 Alpha Centauri
Cepheus  	 Cep 	 Cephei  	 Alderamin
Cetus 	 Cet 	 Ceti  	 Deneb Kaitos
Chamaeleon  	 Cha 	 Chamaeleontis  	 $\alpha$ Chamaeleontis
Circinus  	 Cir 	 Circini  	 $\alpha$ Circini
Columba 	 Col 	 Columbae  	 Phact
Coma Berenices  	 Com 	 Comae Berenices  	 $\beta$ Comae Berenices
Corona Australis 	 CrA 	 Coronae Australis  	 Alphekka Meridiana
Corona Borealis  	 CrB 	 Coronae Borealis  	 Alphecca
Corvus  	 Crv 	 Corvi  	 Gienah
Crater  	 Crt 	 Crateris  	 Labrum
Crux  	 Cru 	 Crucis  	 Acrux
Cygnus  	 Cyg 	 Cygni  	 Deneb
Delphinus  	 Del 	 Delphini 	 Rotanev
Dorado  	 Dor 	 Doradus 	 $\alpha$ Doradus
Draco  	 Dra 	 Draconis  	 Etamin
Equuleus  	 Equ 	 Equulei  	 Kitalpha
Eridanus 	 Eri 	 Eridani  	 Achernar
Fornax 	 For 	 Fornacis 	 Fornacis
Gemini  	 Gem 	 Geminorum 	 Pollux
Grus  	 Gru 	 Gruis  	 Alnair
Hercules  	 Her 	 Herculis 	 Kornephoros
Horologium 	 Hor 	 Horologii 	 $\alpha$ Horologii
Hydra  	 Hya 	 Hydrae  	 Alphard
Hydrus 	 Hyi 	 Hydri  	 $\beta$ Hydri
Indus  	 Ind 	 Indi  	 The Persian
Lacerta 	 Lac 	 Lacertae 	 $\alpha$ Lacertae
Leo 	 Leo 	 Leonis 	 Regulus
Leo Minor 	 LMi 	 Leonis Minoris 	 Praecipua
Lepus  	 Lep 	 Leporis  	 Arneb
Libra  	 Lib 	 Librae  	 Zubeneshamali
Lupus  	 Lup 	 Lupi  	 Men
Lynx  	 Lyn 	 Lyncis  	 Elvashak
Lyra  	 Lyr 	 Lyrae  	 Vega
Mensa 	 Men 	 Mensae 	 $\alpha$ Mensae
Microscopium 	 Mic 	 Microscopii 	 $\gamma$ Microscopii
Monoceros 	 Mon 	 Monocerotis  	 $\beta$ Monocerotis
Musca 	 Mus 	 Muscae  	 $\alpha$ Muscae
Norma  	 Nor 	 Normae 	 $\gamma_2$ Normae
Octans 	 Oct 	 Octantis 	 $\nu$ Oct
Ophiuchus  	 Oph 	 Ophiuchi  	 Ras Alhague
Orion  	 Ori 	 Orionis  	 Rigel
Pavo  	 Pav 	 Pavonis  	 Peacock
Pegasus 	 Peg 	 Pegasi  	 Enif
Perseus  	 Per 	 Persei  	 Mirfak
Phoenix 	 Phe 	 Phoenicis 	 Ankaa
Pictor  	 Pic 	 Pictoris  	 $\alpha$ Pictoris
Pisces 	 Psc 	 Piscium  	 Alpherg
Piscis Austrinus  	 PsA 	 Piscis Austrini  	 Fomalhaut
Puppis 	 Pup 	 Puppis  	 Naos
Pyxis  	 Pyx 	 Pyxidis  	 $\alpha$ Pyxidis
Reticulum  	 Ret 	 Reticuli  	 $\alpha$ Reticuli
Sagitta 	 Sge 	 Sagittae 	 $\gamma$ Sagittae
Sagittarius 	 Sgr 	 Sagittarii  	 Kaus Australis
Scorpius 	 Sco 	 Scorpii 	 Antares
Sculptor 	 Scl 	 Sculptoris 	 $\alpha$ Sculptoris
Scutum 	 Sct 	 Scuti  	 $\alpha$ Scuti
Serpens 	 Ser 	 Serpentis 	 Unukalhai
Sextans  	 Sex 	 Sextantis  	 $\alpha$ Sextantis
Taurus  	 Tau 	 Tauri  	 Aldebaran
Telescopium  	 Tel 	 Telescopii  	 $\alpha$ Telescopii
Triangulum 	 Tri 	 Trianguli  	 $\beta$ Trianguli
Triangulum Australe 	 TrA 	 Trianguli Australis 	 Atria
Tucana  	 Tuc 	 Tucanae 	 $\alpha$ Tucanae
Ursa Major  	 UMa 	 Ursae Majoris  	 Alioth
Ursa Minor  	 UMi 	 Ursae Minoris  	 Polaris
Vela  	 Vel 	 Velorum 	 Regor
Virgo  	 Vir 	 Virginis  	 Spica
Volans 	 Vol 	 Volantis 	 $\beta$ Volantis
Vulpecula 	 Vul 	 Vulpeculae 	 Anser
			
